expense_id,employee_id,department,expense_type,expense_date,submit_date,amount,currency,vendor_name,invoice_number,project_code,approver,business_purpose,origin_city,dest_city,employee_name,trip_id
EXP-0034,E001,销售,travel,2026-07-28,2026-07-31,2380,CNY,铁路平台,INV-6034,P-D,A100,行业会议-重庆往返交通,上海,重庆,张伟,TR-E001-04
EXP-0035,E001,销售,hotel,2026-07-28,2026-08-01,420,CNY,凯越商务酒店,INV-6035,P-D,A100,重庆住宿,重庆,重庆,张伟,TR-E001-04
EXP-0036,E001,销售,meal,2026-07-28,2026-07-30,68,CNY,园区餐厅,INV-6036,P-D,A100,重庆餐饮,重庆,重庆,张伟,TR-E001-04
EXP-0037,E001,销售,taxi,2026-07-28,2026-07-30,45,CNY,机场快线,INV-6037,P-D,A100,重庆市内交通,重庆,重庆,张伟,TR-E001-04
EXP-0038,E001,销售,hotel,2026-07-29,2026-07-30,560,CNY,云栖酒店,INV-6038,P-D,A100,重庆住宿,重庆,重庆,张伟,TR-E001-04
EXP-0039,E001,销售,meal,2026-07-29,2026-07-31,150,CNY,快餐连锁,INV-6039,P-D,A100,重庆餐饮,重庆,重庆,张伟,TR-E001-04
EXP-0040,E001,销售,taxi,2026-07-29,2026-08-01,45,CNY,出租公司,INV-6040,P-D,A100,重庆市内交通,重庆,重庆,张伟,TR-E001-04
EXP-0041,E001,销售,hotel,2026-07-30,2026-08-01,560,CNY,云栖酒店,INV-6041,P-D,A100,重庆住宿,重庆,重庆,张伟,TR-E001-04
EXP-0042,E001,销售,meal,2026-07-30,2026-08-02,96,CNY,商务套餐,INV-6042,P-D,A100,重庆餐饮,重庆,重庆,张伟,TR-E001-04
EXP-0043,E002,销售,travel,2026-09-09,2026-09-13,2380,CNY,铁路平台,INV-6043,P-H,A100,市场调研-青岛往返交通,北京,青岛,李娜,TR-E002-01
EXP-0044,E002,销售,hotel,2026-09-09,2026-09-13,520,CNY,云栖酒店,INV-6044,P-H,A100,青岛住宿,青岛,青岛,李娜,TR-E002-01
EXP-0045,E002,销售,meal,2026-09-09,2026-09-11,68,CNY,商务套餐,INV-6045,P-H,A100,青岛餐饮,青岛,青岛,李娜,TR-E002-01
EXP-0046,E002,销售,taxi,2026-09-09,2026-09-11,88,CNY,网约车平台,INV-6046,P-H,A100,青岛市内交通,青岛,青岛,李娜,TR-E002-01
EXP-0047,E002,销售,hotel,2026-09-10,2026-09-13,680,CNY,如家精选,INV-6047,P-H,A100,青岛住宿,青岛,青岛,李娜,TR-E002-01
EXP-0048,E002,销售,meal,2026-09-10,2026-09-14,96,CNY,商务套餐,INV-6048,P-H,A100,青岛餐饮,青岛,青岛,李娜,TR-E002-01
EXP-0049,E002,销售,taxi,2026-09-10,2026-09-13,35,CNY,机场快线,INV-6049,P-H,A100,青岛市内交通,青岛,青岛,李娜,TR-E002-01
EXP-0050,E002,销售,hotel,2026-09-11,2026-09-15,520,CNY,亚朵酒店,INV-6050,P-H,A100,青岛住宿,青岛,青岛,李娜,TR-E002-01
EXP-0051,E002,销售,meal,2026-09-11,2026-09-14,120,CNY,快餐连锁,INV-6051,P-H,A100,青岛餐饮,青岛,青岛,李娜,TR-E002-01
EXP-0052,E002,销售,taxi,2026-09-11,2026-09-15,35,CNY,网约车平台,INV-6052,P-H,A100,青岛市内交通,青岛,青岛,李娜,TR-E002-01
EXP-0053,E002,销售,travel,2026-08-06,2026-08-10,1450,CNY,航空平台,INV-6053,P-D,A100,行业会议-深圳往返交通,北京,深圳,李娜,TR-E002-02
EXP-0054,E002,销售,hotel,2026-08-06,2026-08-08,480,CNY,云栖酒店,INV-6054,P-D,A100,深圳住宿,深圳,深圳,李娜,TR-E002-02
EXP-0055,E002,销售,meal,2026-08-06,2026-08-09,96,CNY,商务套餐,INV-6055,P-D,A100,深圳餐饮,深圳,深圳,李娜,TR-E002-02
EXP-0056,E002,销售,taxi,2026-08-06,2026-08-10,120,CNY,城市出行,INV-6056,P-D,A100,深圳市内交通,深圳,深圳,李娜,TR-E002-02
EXP-0057,E002,销售,hotel,2026-08-07,2026-08-11,420,CNY,锦江都城,INV-6057,P-D,A100,深圳住宿,深圳,深圳,李娜,TR-E002-02
EXP-0058,E002,销售,meal,2026-08-07,2026-08-10,96,CNY,老地方酒楼,INV-6058,P-D,A100,深圳餐饮,深圳,深圳,李娜,TR-E002-02
EXP-0059,E002,销售,taxi,2026-08-07,2026-08-09,60,CNY,机场快线,INV-6059,P-D,A100,深圳市内交通,深圳,深圳,李娜,TR-E002-02
EXP-0060,E002,销售,hotel,2026-08-08,2026-08-09,420,CNY,亚朵酒店,INV-6060,P-D,A100,深圳住宿,深圳,深圳,李娜,TR-E002-02
EXP-0061,E002,销售,meal,2026-08-08,2026-08-10,150,CNY,快餐连锁,INV-6061,P-D,A100,深圳餐饮,深圳,深圳,李娜,TR-E002-02
EXP-0062,E002,销售,taxi,2026-08-08,2026-08-11,45,CNY,网约车平台,INV-6062,P-D,A100,深圳市内交通,深圳,深圳,李娜,TR-E002-02
EXP-0063,E002,销售,hotel,2026-08-09,2026-08-13,420,CNY,凯越商务酒店,INV-6063,P-D,A100,深圳住宿,深圳,深圳,李娜,TR-E002-02
EXP-0064,E002,销售,meal,2026-08-09,2026-08-11,120,CNY,园区餐厅,INV-6064,P-D,A100,深圳餐饮,深圳,深圳,李娜,TR-E002-02
EXP-0065,E002,销售,taxi,2026-08-09,2026-08-13,60,CNY,网约车平台,INV-6065,P-D,A100,深圳市内交通,深圳,深圳,李娜,TR-E002-02
EXP-0066,E002,销售,travel,2026-08-30,2026-09-03,2100,CNY,铁路平台,INV-6066,P-F,A100,项目交付-成都往返交通,北京,成都,李娜,TR-E002-03
EXP-0067,E002,销售,hotel,2026-08-30,2026-09-03,480,CNY,凯越商务酒店,INV-6067,P-F,A100,成都住宿,成都,成都,李娜,TR-E002-03
EXP-0068,E002,销售,meal,2026-08-30,2026-09-03,88,CNY,商务套餐,INV-6068,P-F,A100,成都餐饮,成都,成都,李娜,TR-E002-03
EXP-0069,E002,销售,taxi,2026-08-30,2026-09-02,88,CNY,城市出行,INV-6069,P-F,A100,成都市内交通,成都,成都,李娜,TR-E002-03
EXP-0070,E002,销售,hotel,2026-08-31,2026-09-02,600,CNY,亚朵酒店,INV-6070,P-F,A100,成都住宿,成都,成都,李娜,TR-E002-03
EXP-0071,E002,销售,meal,2026-08-31,2026-09-02,88,CNY,园区餐厅,INV-6071,P-F,A100,成都餐饮,成都,成都,李娜,TR-E002-03
EXP-0072,E002,销售,taxi,2026-08-31,2026-09-02,88,CNY,网约车平台,INV-6072,P-F,A100,成都市内交通,成都,成都,李娜,TR-E002-03
EXP-0073,E002,销售,hotel,2026-09-01,2026-09-04,420,CNY,锦江都城,INV-6073,P-F,A100,成都住宿,成都,成都,李娜,TR-E002-03
EXP-0074,E002,销售,meal,2026-09-01,2026-09-02,96,CNY,地方风味,INV-6074,P-F,A100,成都餐饮,成都,成都,李娜,TR-E002-03
EXP-0075,E002,销售,hotel,2026-09-02,2026-09-05,480,CNY,亚朵酒店,INV-6075,P-F,A100,成都住宿,成都,成都,李娜,TR-E002-03
EXP-0076,E002,销售,meal,2026-09-02,2026-09-03,150,CNY,快餐连锁,INV-6076,P-F,A100,成都餐饮,成都,成都,李娜,TR-E002-03
EXP-0077,E002,销售,travel,2026-07-04,2026-07-06,1280,CNY,航空平台,INV-6077,P-H,A100,现场支持-西安往返交通,北京,西安,李娜,TR-E002-04
EXP-0078,E002,销售,hotel,2026-07-04,2026-07-05,420,CNY,锦江都城,INV-6078,P-H,A100,西安住宿,西安,西安,李娜,TR-E002-04
EXP-0079,E002,销售,meal,2026-07-04,2026-07-05,120,CNY,园区餐厅,INV-6079,P-H,A100,西安餐饮,西安,西安,李娜,TR-E002-04
EXP-0080,E002,销售,hotel,2026-07-05,2026-07-06,600,CNY,锦江都城,INV-6080,P-H,A100,西安住宿,西安,西安,李娜,TR-E002-04
EXP-0081,E002,销售,meal,2026-07-05,2026-07-08,88,CNY,园区餐厅,INV-6081,P-H,A100,西安餐饮,西安,西安,李娜,TR-E002-04
EXP-0082,E002,销售,taxi,2026-07-05,2026-07-08,88,CNY,出租公司,INV-6082,P-H,A100,西安市内交通,西安,西安,李娜,TR-E002-04
EXP-0083,E002,销售,hotel,2026-07-06,2026-07-10,560,CNY,云栖酒店,INV-6083,P-H,A100,西安住宿,西安,西安,李娜,TR-E002-04
EXP-0084,E002,销售,meal,2026-07-06,2026-07-10,120,CNY,快餐连锁,INV-6084,P-H,A100,西安餐饮,西安,西安,李娜,TR-E002-04
EXP-0085,E002,销售,taxi,2026-07-06,2026-07-09,120,CNY,网约车平台,INV-6085,P-H,A100,西安市内交通,西安,西安,李娜,TR-E002-04
EXP-0086,E003,采购,travel,2026-07-06,2026-07-10,1280,CNY,铁路平台,INV-6086,P-C,A200,项目交付-武汉往返交通,深圳,武汉,王强,TR-E003-01
EXP-0087,E003,采购,hotel,2026-07-06,2026-07-08,600,CNY,锦江都城,INV-6087,P-C,A200,武汉住宿,武汉,武汉,王强,TR-E003-01
EXP-0088,E003,采购,meal,2026-07-06,2026-07-10,68,CNY,地方风味,INV-6088,P-C,A200,武汉餐饮,武汉,武汉,王强,TR-E003-01
EXP-0089,E003,采购,taxi,2026-07-06,2026-07-09,88,CNY,网约车平台,INV-6089,P-C,A200,武汉市内交通,武汉,武汉,王强,TR-E003-01
EXP-0090,E003,采购,hotel,2026-07-07,2026-07-09,680,CNY,云栖酒店,INV-6090,P-C,A200,武汉住宿,武汉,武汉,王强,TR-E003-01
EXP-0091,E003,采购,meal,2026-07-07,2026-07-10,150,CNY,商务套餐,INV-6091,P-C,A200,武汉餐饮,武汉,武汉,王强,TR-E003-01
EXP-0092,E003,采购,taxi,2026-07-07,2026-07-08,120,CNY,机场快线,INV-6092,P-C,A200,武汉市内交通,武汉,武汉,王强,TR-E003-01
EXP-0093,E003,采购,hotel,2026-07-08,2026-07-10,520,CNY,锦江都城,INV-6093,P-C,A200,武汉住宿,武汉,武汉,王强,TR-E003-01
EXP-0094,E003,采购,meal,2026-07-08,2026-07-12,68,CNY,地方风味,INV-6094,P-C,A200,武汉餐饮,武汉,武汉,王强,TR-E003-01
EXP-0095,E003,采购,taxi,2026-07-08,2026-07-10,45,CNY,城市出行,INV-6095,P-C,A200,武汉市内交通,武汉,武汉,王强,TR-E003-01
EXP-0096,E003,采购,travel,2026-06-19,2026-06-20,2380,CNY,航空平台,INV-6096,P-C,A200,供应商洽谈-武汉往返交通,深圳,武汉,王强,TR-E003-02
EXP-0097,E003,采购,hotel,2026-06-19,2026-06-22,520,CNY,亚朵酒店,INV-6097,P-C,A200,武汉住宿,武汉,武汉,王强,TR-E003-02
EXP-0098,E003,采购,meal,2026-06-19,2026-06-20,96,CNY,地方风味,INV-6098,P-C,A200,武汉餐饮,武汉,武汉,王强,TR-E003-02
EXP-0099,E003,采购,taxi,2026-06-19,2026-06-22,45,CNY,机场快线,INV-6099,P-C,A200,武汉市内交通,武汉,武汉,王强,TR-E003-02
EXP-0100,E003,采购,hotel,2026-06-20,2026-06-22,480,CNY,云栖酒店,INV-6100,P-C,A200,武汉住宿,武汉,武汉,王强,TR-E003-02
EXP-0101,E003,采购,meal,2026-06-20,2026-06-23,120,CNY,地方风味,INV-6101,P-C,A200,武汉餐饮,武汉,武汉,王强,TR-E003-02
EXP-0102,E003,采购,taxi,2026-06-20,2026-06-23,120,CNY,城市出行,INV-6102,P-C,A200,武汉市内交通,武汉,武汉,王强,TR-E003-02
EXP-0103,E003,采购,hotel,2026-06-21,2026-06-23,420,CNY,锦江都城,INV-6103,P-C,A200,武汉住宿,武汉,武汉,王强,TR-E003-02
EXP-0104,E003,采购,meal,2026-06-21,2026-06-23,96,CNY,园区餐厅,INV-6104,P-C,A200,武汉餐饮,武汉,武汉,王强,TR-E003-02
EXP-0105,E003,采购,taxi,2026-06-21,2026-06-22,120,CNY,出租公司,INV-6105,P-C,A200,武汉市内交通,武汉,武汉,王强,TR-E003-02
EXP-0106,E004,研发,travel,2026-06-14,2026-06-17,1280,CNY,铁路平台,INV-6106,P-A,A300,项目交付-北京往返交通,上海,北京,刘洋,TR-E004-01
EXP-0107,E004,研发,hotel,2026-06-14,2026-06-17,560,CNY,如家精选,INV-6107,P-A,A300,北京住宿,北京,北京,刘洋,TR-E004-01
EXP-0108,E004,研发,meal,2026-06-14,2026-06-17,68,CNY,快餐连锁,INV-6108,P-A,A300,北京餐饮,北京,北京,刘洋,TR-E004-01
EXP-0109,E004,研发,taxi,2026-06-14,2026-06-16,88,CNY,网约车平台,INV-6109,P-A,A300,北京市内交通,北京,北京,刘洋,TR-E004-01
EXP-0110,E004,研发,hotel,2026-06-15,2026-06-18,520,CNY,锦江都城,INV-6110,P-A,A300,北京住宿,北京,北京,刘洋,TR-E004-01
EXP-0111,E004,研发,meal,2026-06-15,2026-06-19,88,CNY,快餐连锁,INV-6111,P-A,A300,北京餐饮,北京,北京,刘洋,TR-E004-01
EXP-0112,E004,研发,hotel,2026-06-16,2026-06-19,560,CNY,锦江都城,INV-6112,P-A,A300,北京住宿,北京,北京,刘洋,TR-E004-01
EXP-0113,E004,研发,meal,2026-06-16,2026-06-20,120,CNY,老地方酒楼,INV-6113,P-A,A300,北京餐饮,北京,北京,刘洋,TR-E004-01
EXP-0114,E004,研发,taxi,2026-06-16,2026-06-20,120,CNY,机场快线,INV-6114,P-A,A300,北京市内交通,北京,北京,刘洋,TR-E004-01
EXP-0115,E004,研发,hotel,2026-06-17,2026-06-18,520,CNY,凯越商务酒店,INV-6115,P-A,A300,北京住宿,北京,北京,刘洋,TR-E004-01
EXP-0116,E004,研发,meal,2026-06-17,2026-06-21,120,CNY,商务套餐,INV-6116,P-A,A300,北京餐饮,北京,北京,刘洋,TR-E004-01
EXP-0117,E004,研发,taxi,2026-06-17,2026-06-20,88,CNY,城市出行,INV-6117,P-A,A300,北京市内交通,北京,北京,刘洋,TR-E004-01
EXP-0118,E004,研发,travel,2026-08-01,2026-08-03,2380,CNY,铁路平台,INV-6118,P-F,A300,现场支持-成都往返交通,上海,成都,刘洋,TR-E004-02
EXP-0119,E004,研发,hotel,2026-08-01,2026-08-05,680,CNY,云栖酒店,INV-6119,P-F,A300,成都住宿,成都,成都,刘洋,TR-E004-02
EXP-0120,E004,研发,meal,2026-08-01,2026-08-04,96,CNY,老地方酒楼,INV-6120,P-F,A300,成都餐饮,成都,成都,刘洋,TR-E004-02
EXP-0121,E004,研发,taxi,2026-08-01,2026-08-03,60,CNY,出租公司,INV-6121,P-F,A300,成都市内交通,成都,成都,刘洋,TR-E004-02
EXP-0122,E004,研发,hotel,2026-08-02,2026-08-03,560,CNY,亚朵酒店,INV-6122,P-F,A300,成都住宿,成都,成都,刘洋,TR-E004-02
EXP-0123,E004,研发,meal,2026-08-02,2026-08-03,120,CNY,商务套餐,INV-6123,P-F,A300,成都餐饮,成都,成都,刘洋,TR-E004-02
EXP-0124,E004,研发,travel,2026-08-19,2026-08-21,2380,CNY,铁路平台,INV-6124,P-D,A300,市场调研-北京往返交通,上海,北京,刘洋,TR-E004-03
EXP-0125,E004,研发,hotel,2026-08-19,2026-08-20,560,CNY,云栖酒店,INV-6125,P-D,A300,北京住宿,北京,北京,刘洋,TR-E004-03
EXP-0126,E004,研发,meal,2026-08-19,2026-08-20,150,CNY,园区餐厅,INV-6126,P-D,A300,北京餐饮,北京,北京,刘洋,TR-E004-03
EXP-0127,E004,研发,taxi,2026-08-19,2026-08-22,120,CNY,城市出行,INV-6127,P-D,A300,北京市内交通,北京,北京,刘洋,TR-E004-03
EXP-0128,E004,研发,hotel,2026-08-20,2026-08-23,420,CNY,凯越商务酒店,INV-6128,P-D,A300,北京住宿,北京,北京,刘洋,TR-E004-03
EXP-0129,E004,研发,meal,2026-08-20,2026-08-24,96,CNY,园区餐厅,INV-6129,P-D,A300,北京餐饮,北京,北京,刘洋,TR-E004-03
EXP-0130,E004,研发,taxi,2026-08-20,2026-08-24,60,CNY,机场快线,INV-6130,P-D,A300,北京市内交通,北京,北京,刘洋,TR-E004-03
EXP-0131,E005,财务,travel,2026-06-25,2026-06-29,2100,CNY,铁路平台,INV-6131,P-F,A400,行业会议-上海往返交通,广州,上海,陈静,TR-E005-01
EXP-0132,E005,财务,hotel,2026-06-25,2026-06-29,560,CNY,亚朵酒店,INV-6132,P-F,A400,上海住宿,上海,上海,陈静,TR-E005-01
EXP-0133,E005,财务,meal,2026-06-25,2026-06-26,150,CNY,老地方酒楼,INV-6133,P-F,A400,上海餐饮,上海,上海,陈静,TR-E005-01
EXP-0134,E005,财务,taxi,2026-06-25,2026-06-26,60,CNY,网约车平台,INV-6134,P-F,A400,上海市内交通,上海,上海,陈静,TR-E005-01
EXP-0135,E005,财务,hotel,2026-06-26,2026-06-29,420,CNY,凯越商务酒店,INV-6135,P-F,A400,上海住宿,上海,上海,陈静,TR-E005-01
EXP-0136,E005,财务,meal,2026-06-26,2026-06-28,96,CNY,地方风味,INV-6136,P-F,A400,上海餐饮,上海,上海,陈静,TR-E005-01
EXP-0137,E005,财务,taxi,2026-06-26,2026-06-30,60,CNY,网约车平台,INV-6137,P-F,A400,上海市内交通,上海,上海,陈静,TR-E005-01
EXP-0138,E005,财务,hotel,2026-06-27,2026-06-29,420,CNY,凯越商务酒店,INV-6138,P-F,A400,上海住宿,上海,上海,陈静,TR-E005-01
EXP-0139,E005,财务,meal,2026-06-27,2026-06-29,88,CNY,园区餐厅,INV-6139,P-F,A400,上海餐饮,上海,上海,陈静,TR-E005-01
EXP-0140,E005,财务,travel,2026-06-09,2026-06-12,1650,CNY,航空平台,INV-6140,P-G,A400,行业会议-武汉往返交通,广州,武汉,陈静,TR-E005-02
EXP-0141,E005,财务,hotel,2026-06-09,2026-06-13,520,CNY,星海酒店,INV-6141,P-G,A400,武汉住宿,武汉,武汉,陈静,TR-E005-02
EXP-0142,E005,财务,meal,2026-06-09,2026-06-11,88,CNY,商务套餐,INV-6142,P-G,A400,武汉餐饮,武汉,武汉,陈静,TR-E005-02
EXP-0143,E005,财务,hotel,2026-06-10,2026-06-14,600,CNY,凯越商务酒店,INV-6143,P-G,A400,武汉住宿,武汉,武汉,陈静,TR-E005-02
EXP-0144,E005,财务,meal,2026-06-10,2026-06-14,96,CNY,快餐连锁,INV-6144,P-G,A400,武汉餐饮,武汉,武汉,陈静,TR-E005-02
EXP-0145,E005,财务,hotel,2026-06-11,2026-06-13,520,CNY,凯越商务酒店,INV-6145,P-G,A400,武汉住宿,武汉,武汉,陈静,TR-E005-02
EXP-0146,E005,财务,meal,2026-06-11,2026-06-14,96,CNY,快餐连锁,INV-6146,P-G,A400,武汉餐饮,武汉,武汉,陈静,TR-E005-02
EXP-0147,E005,财务,taxi,2026-06-11,2026-06-13,45,CNY,网约车平台,INV-6147,P-G,A400,武汉市内交通,武汉,武汉,陈静,TR-E005-02
EXP-0148,E005,财务,hotel,2026-06-12,2026-06-14,680,CNY,亚朵酒店,INV-6148,P-G,A400,武汉住宿,武汉,武汉,陈静,TR-E005-02
EXP-0149,E005,财务,meal,2026-06-12,2026-06-15,120,CNY,快餐连锁,INV-6149,P-G,A400,武汉餐饮,武汉,武汉,陈静,TR-E005-02
EXP-0150,E005,财务,taxi,2026-06-12,2026-06-16,88,CNY,出租公司,INV-6150,P-G,A400,武汉市内交通,武汉,武汉,陈静,TR-E005-02
EXP-0151,E006,市场,travel,2026-06-05,2026-06-09,2380,CNY,航空平台,INV-6151,P-B,A500,供应商洽谈-深圳往返交通,北京,深圳,杨帆,TR-E006-01
EXP-0152,E006,市场,hotel,2026-06-05,2026-06-09,680,CNY,凯越商务酒店,INV-6152,P-B,A500,深圳住宿,深圳,深圳,杨帆,TR-E006-01
EXP-0153,E006,市场,meal,2026-06-05,2026-06-09,96,CNY,地方风味,INV-6153,P-B,A500,深圳餐饮,深圳,深圳,杨帆,TR-E006-01
EXP-0154,E006,市场,taxi,2026-06-05,2026-06-09,88,CNY,机场快线,INV-6154,P-B,A500,深圳市内交通,深圳,深圳,杨帆,TR-E006-01
EXP-0155,E006,市场,hotel,2026-06-06,2026-06-10,600,CNY,凯越商务酒店,INV-6155,P-B,A500,深圳住宿,深圳,深圳,杨帆,TR-E006-01
EXP-0156,E006,市场,meal,2026-06-06,2026-06-09,120,CNY,园区餐厅,INV-6156,P-B,A500,深圳餐饮,深圳,深圳,杨帆,TR-E006-01
EXP-0157,E006,市场,taxi,2026-06-06,2026-06-10,120,CNY,城市出行,INV-6157,P-B,A500,深圳市内交通,深圳,深圳,杨帆,TR-E006-01
EXP-0158,E006,市场,hotel,2026-06-07,2026-06-10,560,CNY,星海酒店,INV-6158,P-B,A500,深圳住宿,深圳,深圳,杨帆,TR-E006-01
EXP-0159,E006,市场,meal,2026-06-07,2026-06-08,88,CNY,地方风味,INV-6159,P-B,A500,深圳餐饮,深圳,深圳,杨帆,TR-E006-01
EXP-0160,E006,市场,taxi,2026-06-07,2026-06-08,60,CNY,机场快线,INV-6160,P-B,A500,深圳市内交通,深圳,深圳,杨帆,TR-E006-01
EXP-0161,E006,市场,travel,2026-06-08,2026-06-09,760,CNY,航空平台,INV-6161,P-G,A500,项目交付-厦门往返交通,北京,厦门,杨帆,TR-E006-02
EXP-0162,E006,市场,hotel,2026-06-08,2026-06-12,420,CNY,凯越商务酒店,INV-6162,P-G,A500,厦门住宿,厦门,厦门,杨帆,TR-E006-02
EXP-0163,E006,市场,meal,2026-06-08,2026-06-11,68,CNY,老地方酒楼,INV-6163,P-G,A500,厦门餐饮,厦门,厦门,杨帆,TR-E006-02
EXP-0164,E006,市场,hotel,2026-06-09,2026-06-10,600,CNY,凯越商务酒店,INV-6164,P-G,A500,厦门住宿,厦门,厦门,杨帆,TR-E006-02
EXP-0165,E006,市场,meal,2026-06-09,2026-06-10,88,CNY,地方风味,INV-6165,P-G,A500,厦门餐饮,厦门,厦门,杨帆,TR-E006-02
EXP-0166,E006,市场,taxi,2026-06-09,2026-06-13,35,CNY,出租公司,INV-6166,P-G,A500,厦门市内交通,厦门,厦门,杨帆,TR-E006-02
